canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
O=C(NCCN1CC2(COC2)C1)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL5077679,Inhibition,%,83.6,INH,%,83.6
COC(=O)CCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL5074857,Inhibition,%,68.0,INH,%,68.0
COC(=O)CCCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL5081438,Inhibition,%,34.9,INH,%,34.9
O=C(O)CCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL5074845,Inhibition,%,54.8,INH,%,54.8
O=C(O)CCCNC(=O)c1ccc2c(c1)C(=O)c1ccc(Nc3ccc(F)cc3F)cc1CC2,CHEMBL5079750,Inhibition,%,38.1,INH,%,38.1
Nc1ccccc1Nc1ccc2c(c1)CCc1ccc(C(=O)NCCC(=O)O)cc1C2=O,CHEMBL5074371,Inhibition,%,4.1,INH,%,4.1
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)c3nc4ccccc4s3)cc12,CHEMBL2435614,Inhibition,%,,INH,,
O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(-c2cn[nH]c2)cc1,CHEMBL5075864,Inhibition,%,96.0,INH,%,96.0
O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(-c2c[nH]cn2)cc1,CHEMBL5087481,Inhibition,%,100.0,INH,%,100.0
O=C(Cc1cccnc1)N(Cc1cccc(Cl)c1)c1ccc(-c2cn[nH]c2)cc1,CHEMBL5077756,Inhibition,%,99.0,INH,%,99.0
O=C(Cc1cncnc1)N(Cc1cccc(Cl)c1)c1ccc(-c2cn[nH]c2)cc1,CHEMBL5070186,Inhibition,%,88.0,INH,%,88.0
